10:39:50 05/24/21
Sentido Ascendente
V.Med. - V.Pad.
0.0       0.0
50.0       50.1
100.0       100.6
200.0       201.2
300.0       301.8
400.0       402.3
500.0       502.2
600.0       601.8
700.0       700.0
800.0       799.9
900.0       898.2
1000.0       997.2
Sentido Descendente
V.Med. - V.Pad.
1000.0       997.2
900.0       898.2
800.0       799.9
700.0       700.0
600.0       601.8
500.0       502.2
400.0       402.3
300.0       301.8
200.0       201.2
100.0       100.6
50.0       50.1
0.0       0.0
